NOUN,VERB
ablation,faire
abus,entraîner
acceptation,faire
accès,avoir
accès,donner
ascension,accomplir
between-the-legs-dunk,accomplir
démarche,accomplir
devoir,accomplir
évolution,accomplir
mandat,accomplir
mission,accomplir
œuvre,accomplir
pas,accomplir
progrès,accomplir
tâche,accomplir
travail,accomplir
accord,conclure
accord,donner
accord,passer
accord,sceller
accord,signer
attention,accorder
autorisation,accorder
droit,accorder
entretien,accorder
interview,accorder
accueil,faire
accueil,obtenir
accueil,réserver
accusation,porter
perte,accuser
acquisition,faire
acte,commettre
acte,effectuer
action,avoir
action,effectuer
action,entreprendre
action,exécutéer
action,exercer
action,mener
action,perpétrer
action,réaliser
activité,avoir
activité,exercer
activité,présenter
adaptation,faire
adaptation,présenter
ton,adopter
refus,adresser
remerciement,adresser
reproche,adresser
affaire,faire
affichage,effectuer
aide,apporter
aide,venir
air,avoir
alerte,donner
allégation,faire
allégeance,faire
retour,faire
alliance,conclure
alliance,contracter
alliance,passer
allocution,prononcer
allure,prendre
allusion,faire
ambition,avoir
amélioration,apporter
amélioration,entraîner
analogie,présenter
analyse,effectuer
analyse,faire
angiographie,subir
angioplastie,bénéficier
anonymat,garder
aperçu,avoir
apparition,faire
appel,faire
appel,lancer
appel,recevoir
appel,refaire
embargo,appliquer
appui,apporter
assistance,apporter
cohérence,apporter
commentaire,apporter
concours,apporter
contribution,apporter
dépaysement,apporter
écoute,apporter
mystère,apporter
précision,apporter
prospérité,apporter
réjouissance,apporter
réponse,apporter
solution,apporter
soutien,apporter
témoignage,apporter
transparence,apporter
utilité,apporter
appui,prendre
arbitrage,faire
arrestation,commettre
arrêt,faire
arrivée,effectuer
ascension,effectuer
aspect,revêtir
assaut,lancer
assemblée,tenir
assistance,recevoir
élevage,assumer
assurance,donner
développement,assurer
entretien,assurer
présidence,assurer
protection,assurer
réception,assurer
suivi,assurer
surveillance,assurer
attaque,lancer
attaque,mener
attaque,perpétrer
cancer,atteindre
insuffisance,atteindre
maladie,atteindre
maldie,atteindre
ostéoporose,atteindre
SCA,atteindre
syndrome,atteindre
atteinte,présenter
attention,bénéficier
attention,faire
attention,porter
audition,conduire
audition,passer
augmentation,connaître
autorisation,délivrer
autorisation,faire
avance,prendre
objection,avancer
avantage,bénéficier
avantage,présenter
AVC,subir
avertissement,recevoir
aveu,passer
besoin,avoir
but,avoir
capacité,avoir
chance,avoir
classe,avoir
classement,avoir
collaboration,avoir
compétence,avoir
connaissance,avoir
conscience,avoir
conséquence,avoir
contact,avoir
conversation,avoir
coutume,avoir
crédibilité,avoir
destin,avoir
devoir,avoir
difficulté,avoir
doctrine,avoir
douleur,avoir
doute,avoir
droit,avoir
effet,avoir
émotion,avoir
ennui,avoir
envie,avoir
espoir,avoir
expérience,avoir
faim,avoir
finalité,avoir
formation,avoir
fracture,avoir
habitude,avoir
hâte,avoir
homonyme,avoir
honneur,avoir
hypertension,avoir
hypocalcémie,avoir
idéal,avoir
idée,avoir
impact,avoir
importance,avoir
impression,avoir
incidence,avoir
influence,avoir
intention,avoir
intérêt,avoir
joie,avoir
larme,avoir
liaison,avoir
mission,avoir
nécessité,avoir
objectif,avoir
occasion,avoir
opinion,avoir
origine,avoir
particularité,avoir
perception,avoir
peur,avoir
plaisir,avoir
poids,avoir
position,avoir
possibilité,avoir
pouvoir,avoir
préjugé,avoir
privilège,avoir
problème,avoir
projet,avoir
rapport,avoir
recours,avoir
relation,avoir
religion,avoir
rendement,avoir
répercussion,avoir
responsabilité,avoir
résultat,avoir
rivalité,avoir
rôle,avoir
sens,avoir
sentiment,avoir
signification,avoir
succès,avoir
surprise,avoir
symptôme,avoir
tendance,avoir
traitement,avoir
visée,avoir
vocation,avoir
vue,avoir
bain,prendre
baisse,connaître
baisse,entraîner
balade,faire
bataille,livrer
ICP,bénéficier
intervention,bénéficier
largesse,bénéficier
